"Категория 1";"Категория 2";"Категория 3";"Категория 4";Артикул;Заголовок;Цена;Валюта;Наличие;Описание;Изображения;Вес;Габариты;Производитель;"Ссылка на товар";ID;"Артикул поставщика";Размер
"Домашняя одежда и текстиль";"Большие размеры";;;"м440 (859256958)";"м440 Костюм мужской (индиго винтаж)";1240;RUB;"В наличии";"Ткань: Хлопок 74%, ПЭ 21%, ПУ 5%
Ткань: Футер двунитка с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/295/tixdclolqu95m6azzd6928utky1agbly.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/m440-kostyum-muzhskoy-indigo-vintazh/;859256958;м440;46/48/50/52/54/56
"Домашняя одежда и текстиль";"Большие размеры";;;"м440 (1589992140)";"м440 Костюм мужской (черный винтаж)";1240;RUB;"В наличии";"Ткань: Хлопок 74%, ПЭ 21%, ПУ 5%
Ткань: Футер двунитка с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/728/t7nc0zmrjqvanxcicipob7efpr44iu7e.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/m440-kostyum-muzhskoy-chernyy-vintazh/;1589992140;м440;46/48/50/52/54/56
"Домашняя одежда и текстиль";"Бриджи, шорты, брюки и юбки";;;"м433 (708247849)";"м433 Брюки флис (черный леопард)";700;RUB;"В наличии";"Ткань: Полиэстер 100%
Ткань: флис";https://ivanushka-trikotazh.ru/upload/iblock/8d2/pvara69fy2dm7ufx4mbf8ayl25sxwr0p.JPG;;;;https://ivanushka-trikotazh.ru/catalog/bridgi/m433-bryuki-flis-chernyy-leopard/;708247849;м433;44/46/48/50/52/54/56/58
"Домашняя одежда и текстиль";"Майки и футболки";;;"м439 (146760521)";"М439 Футболка оверсайз (зеленый)";450;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/a50/9i40wl0j8q9b770xp1sbukdkaqy48zqi.JPG;;;;https://ivanushka-trikotazh.ru/catalog/mayki-futbolki/m439-futbolka-oversayz-zelenyy/;146760521;м439;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Большие размеры";;;"м439 (1819643912)";"М439 Футболка оверсайз (серый)";500;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/6c0/ha4bwco2bucgzaxqelq1m920qaz9peb2.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/m439-futbolka-oversayz-seryy/;1819643912;м439;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"м436 (419487680)";"м436 Сорочка Кокетка (леопард)";680;RUB;"В наличии";"Ткань: Вискоза 92%, п/у 8%
Ткань: Вискоза";https://ivanushka-trikotazh.ru/upload/iblock/d58/9h7gizf4v9wsvshmfl12m3kmfoj34lst.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m436-sorochka-koketka-leopard/;419487680;м436;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"м436 (01602884419)";"м436 Сорочка Кокетка (абстракция)";680;RUB;"В наличии";"Ткань: Вискоза 92%, п/у 8%
Ткань: Вискоза";https://ivanushka-trikotazh.ru/upload/iblock/18f/p1kv1kce2dlgen6q7hbgi3sthurm31fi.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m436-sorochka-koketka-abstraktsiya/;01602884419;м436;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"м436 (0809761191)";"м436 Сорочка Кокетка (волна)";680;RUB;"В наличии";"Ткань: Вискоза 92%, п/у 8%
Ткань: Вискоза";https://ivanushka-trikotazh.ru/upload/iblock/af7/86dd3i9f8mt1i2123wk7pmjz9yz6h438.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m436-sorochka-koketka-volna/;0809761191;м436;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Майки и футболки";;;"м438 (02010915496)";"М438 Футболка оверсайз (индиго винтаж)";650;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/a0a/5xcndjc4nfoy38520wb61iovcg6izjy4.JPG;;;;https://ivanushka-trikotazh.ru/catalog/mayki-futbolki/m438-futbolka-oversayz-indigo-vintazh-/;02010915496;м438;46/48/50/52/54/56
"Домашняя одежда и текстиль";"Сорочки женские";;;"м121 (0697061098)";"М121 Сорочка Света (ментол)";390;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Поплин";https://ivanushka-trikotazh.ru/upload/iblock/8dd/ap8rh0rdaz3bkulfpqsurprg9v1pr40g.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m121-sorochka-sveta-mentol/;0697061098;м121;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Большие размеры";;;"м37а (1909889445)";"М37а Сорочка теплая футер ( сиреневый)";840;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Футер";https://ivanushka-trikotazh.ru/upload/iblock/395/g152yawm01av03chii2zoiscj7w8speh.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/m37a-sorochka-teplaya-futer-sirenevyy/;1909889445;м37а;62/64
"Домашняя одежда и текстиль";"Сорочки для будущих и кормящих мам";;;"м121 (01154866684)";"М121 Сорочка Света (голубой)";390;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Поплин";https://ivanushka-trikotazh.ru/upload/iblock/1e6/o31fe2uxkdla7iz3pmkbij8tmw7koz4p.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki-dlja-buduschih-i-kormjaschih-mam/m121-sorochka-sveta-goluboy/;01154866684;м121;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Большие размеры";;;"м37а (0415403300)";"М37а Сорочка теплая футер (листья на розовом)";840;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Футер";https://ivanushka-trikotazh.ru/upload/iblock/d45/musa5yidvmfb9ec24knj0gq5wdah7h8z.jpg;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/m37a-sorochka-teplaya-futer-listya-na-rozovom/;0415403300;м37а;62/64
"Домашняя одежда и текстиль";"Сорочки женские";;;"м37а (1618803190)";"М37а Сорочка теплая футер (листья на какао)";840;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Футер";https://ivanushka-trikotazh.ru/upload/iblock/ba9/7vpk6vtkvm8cv2qe69m53gm0dvmm4zmf.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m37a-sorochka-teplaya-futer-listya-na-kakao/;1618803190;м37а;62/64
"Домашняя одежда и текстиль";"Сорочки женские";;;"м66 (1825657879)";"М66 Сорочка Шарм (лила)";680;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/268/2kjbjc515r1v385o3c11itwv49gegsyz.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m66-sorochka-sharm-lila/;1825657879;м66;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Большие размеры";;;"м37а (02147352250)";"М37а Сорочка теплая футер (голубые цветы)";840;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Футер";https://ivanushka-trikotazh.ru/upload/iblock/9bd/cfsnr9jhs0u1uapq460fiyfnf5datwy7.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/m37a-sorochka-teplaya-futer-golubye-tsvety/;02147352250;м37а;62/64
"Домашняя одежда и текстиль";"Сорочки женские";;;"м37 (734853782)";"М37 Сорочка теплая футер (голубые цветы)";790;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Футер";https://ivanushka-trikotazh.ru/upload/iblock/03c/1j4zrdtjrrtlans3ej4vhw3z9r97lm8j.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m37-sorochka-teplaya-futer-golubye-tsvety/;734853782;м37;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки для будущих и кормящих мам";;;"м37а (409350806)";"М37а Сорочка теплая футер гиганты (бабочки )";840;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Футер";https://ivanushka-trikotazh.ru/upload/iblock/9fc/eme8h4olkkb4zeves1ignsvd2hi3yu4i.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki-dlja-buduschih-i-kormjaschih-mam/m37a-sorochka-teplaya-futer-giganty-babochki-/;409350806;м37а;62/64
"Домашняя одежда и текстиль";"Большие размеры";;;"м37а (1464429653)";"М37а Сорочка теплая футер гиганты  (бабочки на зеленом)";840;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Футер";https://ivanushka-trikotazh.ru/upload/iblock/f93/vbrgekf0lfdv7axn8211igai8bqmvv17.jpg;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/m37a-sorochka-teplaya-futer-giganty-babochki-na-zelenom/;1464429653;м37а;62/64
"Домашняя одежда и текстиль";"Большие размеры";;;"м169а (01971356103)";"М169а Ночная сорочка (розовый)";700;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/e0f/h5lusebaqa3u7ii4l9e59m941u5au4mu.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/m169a-nochnaya-sorochka-rozovyy/;01971356103;м169а;62/64/66/68/70/72
"Домашняя одежда и текстиль";"Сорочки женские";;;"м169а (1808026656)";"М169а Ночная сорочка (сиреневый)";700;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/bcd/8mr85q8kfjxco3kjeunm1rllz6iu7pvr.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m169a-nochnaya-sorochka-sirenevyy/;1808026656;м169а;62/64/66/68/70/72
"Домашняя одежда и текстиль";"Одежда для мужчин";;;"м174а (102783175)";"М174а Бриджи мужские гиганты (синие буквы)";570;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/392/au2ss3gquwowo6mvx6ntv4buns1rifcv.JPG;;;;https://ivanushka-trikotazh.ru/catalog/men/m174a-bridzhi-muzhskie-giganty-sinie-bukvy/;102783175;м174а;62/64/66/68/70
"Домашняя одежда и текстиль";"Одежда для мужчин";;;"м174а (1445486159)";"М174а Бриджи мужские гиганты (зеленые буквы)";570;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/6d0/16retoazryh6fdz3k761udltjt1skscr.JPG;;;;https://ivanushka-trikotazh.ru/catalog/men/m174a-bridzhi-muzhskie-giganty-zelenye-bukvy/;1445486159;м174а;62/64/66/68/70
"Домашняя одежда и текстиль";"Большие размеры";;;"х33а (0216332637)";"Х33а халат Лена (сиреневые цветы)";950;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/1fd/36nn18npi4khicwmpimn0zq9xrb39j6b.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/kh33a-khalat-lena-sirenevye-tsvety/;0216332637;х33а;62/64/66/68/70/72
"Домашняя одежда и текстиль";"Халаты женские";;;"х33а (372212602)";"Х33а халат Лена (хаки цветы)";950;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/6d2/g14fywgavn4lv43pumdzkgkyhy767qnc.JPG;;;;https://ivanushka-trikotazh.ru/catalog/zhenskie-khalaty/kh33a-khalat-lena-khaki-tsvety/;372212602;х33а;66/68/70/72
"Домашняя одежда и текстиль";"Большие размеры";;;"Х33а (01091696595)";"Х33а халат женский ""Лена""";950;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/9bf/zcssbi3cvx6592jzfy9toc85976iz3z0.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/kh33%D0%B0-khalat-zhenskiy-lena/;01091696595;Х33а;62/64/66/68
"Домашняя одежда и текстиль";"Халаты женские";;;"х35а (1510734293)";"Х35а Халат ""Лера"" (большие размеры)";950;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/4ad/ibx6rpxxgfhn6q0k2eyb2kh43gy87zci.JPG;;;;https://ivanushka-trikotazh.ru/catalog/zhenskie-khalaty/kh35a-khalat-lera-bolshie-razmery/;1510734293;х35а;66/68
"Домашняя одежда и текстиль";"Большие размеры";;;"м37а (804491770)";"М37а  Сорочка теплая футер (стрекозы)";840;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Футер";https://ivanushka-trikotazh.ru/upload/iblock/fa9/f4khziuisu9n97w6qebntnymqamikrvo.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/m37a-sorochka-teplaya-futer-strekozy/;804491770;м37а;62/64
"Домашняя одежда и текстиль";Рубашки;;;"Р3а (0631486911)";"Р3а Рубашка мужская";740;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Фуле

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/95c/95cb8b277e00b28843f38db4a265836e.jpg;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/r3a-rubashka-muzhskaya/;0631486911;Р3а;"ворот  50/ворот 46/ворот 47/ворот 48/ворот 49"
"Домашняя одежда и текстиль";Рубашки;;;"Р4 (926974959)";"Р4 Сорочка мужская шотланка кор. рукав";530;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Х/б шотландка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/688/688ee7f098d224d4e78f32fc9ef0627d.jpg;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/r4-sorochka-muzhskaya-shotlanka-kor-rukav/;926974959;Р4;"ворот 39/ворот 40/ворот 41/ворот 42/ворот 43/ворот 44/ворот 45"
"Домашняя одежда и текстиль";"Одежда для мужчин";;;"М174а (2100275140)";"М174а Бриджи мужские гиганты";570;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/0b0/0b07eead63faab4b55dc3fbd83a0e081.jpg;;;;https://ivanushka-trikotazh.ru/catalog/men/m174a-bridzhi-muzhskie-giganty/;2100275140;М174а;62/64/66/68/70
"Домашняя одежда и текстиль";"Сорочки женские";;;"М6а (154723132)";"М6а Сорочка фланелевая (большие размеры)";680;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Фланель

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/826/ek7mhajogjc1go01peltqb194gb9skbm.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m6a-sorochka-flanelevaya-bolshie-razmery/;154723132;М6а;62/64/66/68/70/72
"Домашняя одежда и текстиль";"Сорочки женские";;;"М89а (023941628)";"М89а Сорочка «Капелька» (большие размеры)";550;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/151/od5m8ujzpmzxsht4xpuepsf01i41xgtw.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m89a-sorochka-kapelka-bolshie-razmery/;023941628;М89а;62/64/66/68/70/72
"Домашняя одежда и текстиль";"Сорочки женские";;;"М39а (0611994562)";"М39а Сорочка «Вера»";680;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/214/j4ag5xnkuu20pru3w0ue0542occ40sro.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m39a-sorochka-vera/;0611994562;М39а;62/64/66/68/70/72
"Домашняя одежда и текстиль";"Сорочки женские";;;"М33а (02067880253)";"М33а Сорочка «Эля» (большие размеры)";570;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/d88/d886fb7d1cfc797377bbb4730331d1e0.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m33a-sorochka-elya-bolshie-razmery/;02067880253;М33а;70/72
"Домашняя одежда и текстиль";"Сорочки женские";;;"М12а (01936986312)";"М12а Сорочка «Маркиза» (большие размеры)";450;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/05a/a5emfar8ivl8nymn078v8z7lqk00t39c.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m12a-sorochka-markiza-bolshie-razmery/;01936986312;М12а;64/66/68/70
"Домашняя одежда и текстиль";"Сорочки женские";;;"М57а (0148281813)";"М57а Сорочка «Анжелика» (большие размеры)";400;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/04a/u8mxv5su61ix208ixcby81z14oz6qdvf.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m57a-sorochka-anzhelika-bolshie-razmery/;0148281813;М57а;64/66/68/70
"Домашняя одежда и текстиль";"Сорочки женские";;;"М61а (612257004)";"М61а Сорочка «Кимоно» (большие размеры)";410;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/421/471b8d4gi23nf73w0dm9sj4xskub0j4n.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m61a-sorochka-kimono-bolshie-razmery/;612257004;М61а;64/66/68/70
"Домашняя одежда и текстиль";"Сорочки женские";;;"М7а (0205995180)";"М7а Сорочка «Крыло»";450;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/4ee/3y6rnju8b4sih28806wxsocoehyddtab.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m7a-sorochka-krylo/;0205995180;М7а;64/66/68/70
"Домашняя одежда и текстиль";"Сорочки женские";;;"М8а (588984528)";"М8а Сорочка «Принцесса» (большие размеры)";490;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/c42/4skp2dv92ndkx3jm6dpz86p798xck48g.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m8a-sorochka-printsessa-bolshie-razmery/;588984528;М8а;64/66/68/70
"Домашняя одежда и текстиль";"Сорочки женские";;;"М98а (217488930)";"М98а Сорочка «Ника» (большие размеры)";440;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/747/4k72leqfx5qc1ia8zoentu78hzz4x4i4.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m98a-sorochka-nika-bolshie-razmery/;217488930;М98а;64/66/68/70
"Домашняя одежда и текстиль";Рубашки;;;"Р2а (180465617)";"Р2а Рубашка мужская, ворот";610;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Х/б шотландка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/b08/b086710d377e31da85fdcfe48763a36e.jpg;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/r2a-rubashka-muzhskaya-vorot/;180465617;Р2а;"ворот  46/ворот  48/ворот  49/ворот  50/ворот 47"
